City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Pemberton,CA,77.2,few clouds,50.3164,-122.8027,Pemberton Valley Lodge
5,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
11,Phalodi,IN,78.15,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
13,Kapaa,US,85.1,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Ormara,PK,79.84,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
32,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
34,Vaini,TO,76.78,overcast clouds,-21.2,-175.2,Keleti Beach Resort
37,Atuona,PF,76.6,clear sky,-9.8,-139.0333,Villa Enata
38,Sao Jose Da Coroa Grande,BR,75.56,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
39,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
40,Caldas Novas,BR,88.41,few clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
41,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
45,Bonnyville,CA,70.2,overcast clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
52,Benguela,AO,74.37,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
60,Rockhampton,AU,71.49,light rain,-23.3833,150.5,Mercure Rockhampton
61,Goya,AR,81.75,clear sky,-29.14,-59.2626,Apart Costanera Goya
63,Dicabisagan,PH,77.67,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
70,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
71,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Kavieng,PG,82.8,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
73,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
75,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
80,Lorengau,PG,82.85,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
81,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
83,Susangerd,IR,84.81,broken clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
84,Georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
92,Hithadhoo,MV,80.91,overcast clouds,-0.6,73.0833,Scoop Guest House
93,Sopelana,ES,76.78,clear sky,43.3789,-2.9831,Hotel Goizalde
94,Auki,SB,82.18,scattered clouds,-8.7676,160.7034,Auki Motel
99,Sao Filipe,CV,80.73,light rain,14.8961,-24.4956,Hotel Xaguate
101,Butaritari,KI,81.66,broken clouds,3.0707,172.7902,Isles Sunset Lodge
105,Zuwarah,LY,72.55,clear sky,32.9312,12.082,تيدارت انغ
108,Pafos,CY,71.38,few clouds,34.7667,32.4167,Elysium Hotel
118,Lompoc,US,78.58,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
119,Cockburn Town,TC,82.98,clear sky,21.4612,-71.1419,Osprey Beach Hotel
120,Ponta Do Sol,PT,74.01,overcast clouds,32.6667,-17.1,Hotel do Campo
122,Srivardhan,IN,77.0,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
124,Pau Brasil,BR,74.07,overcast clouds,-15.4642,-39.6511,Tina Hotel
126,Chirongui,YT,75.13,clear sky,-12.9319,45.1483,La Villa Mahatsara
130,Nhulunbuy,AU,74.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
131,Panaba,MX,82.74,light rain,21.2833,-88.2667,Hotel Don Fernando
132,Mandera,KE,83.08,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
133,Tagbac,PH,72.05,moderate rain,7.089,125.1567,Sitio Maupot Family Resort
134,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
141,Touros,BR,78.03,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
150,Mahibadhoo,MV,81.21,overcast clouds,3.7833,72.9667,Omadhoo Inn
151,Alugan,PH,78.64,overcast clouds,12.2188,125.4808,JM Lodge
155,Mabaruma,GY,80.89,broken clouds,8.2,-59.7833,Monty Brooms Guest House
157,Guerrero Negro,MX,82.58,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
160,Inirida,CO,83.98,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
161,Puerto Leguizamo,CO,80.62,broken clouds,-0.1934,-74.7819,la casona de juancho
164,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
169,Vao,NC,71.69,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
171,Kathu,TH,81.75,moderate rain,7.9178,98.3332,Novotel Phuket Resort
175,Manokwari,ID,78.26,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
178,Santa Fe,AR,76.01,overcast clouds,-31.6333,-60.7,Conquistador Hotel
179,Ipixuna,BR,76.59,overcast clouds,-1.7625,-48.8043,Chalé do Mato
180,Libreville,GA,77.34,moderate rain,0.3925,9.4537,Hotel Kreg Le Patio
182,Ilhabela,BR,70.23,light rain,-23.7781,-45.3581,Ilha Flat Hotel
183,Isangel,VU,77.13,scattered clouds,-19.55,169.2667,Tanna Lodge
189,Victoria,HK,71.33,overcast clouds,22.2855,114.1577,Mini Central
191,Salaga,GH,78.6,scattered clouds,8.5508,-0.5188,Bore Nada Guest House
194,Bac Lieu,VN,77.22,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
195,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
199,Marsh Harbour,BS,82.04,broken clouds,26.5412,-77.0636,Abaco Beach Resort
203,Peddapalli,IN,73.56,overcast clouds,18.6167,79.3667,THE PEDDAPALLI ROCKS/VLOGS/EXTRAS & AF PRODUCTIONS
204,Maragogi,BR,74.97,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
205,Kalabo,ZM,77.92,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
206,Port Elizabeth,ZA,70.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
207,Ambanja,MG,73.11,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
210,Bacungan,PH,78.85,broken clouds,9.9106,118.7022,Sumayang Property
211,Half Moon Bay,US,85.48,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
214,Bandarbeyla,SO,78.13,few clouds,9.4942,50.8122,JABIR HOTEL
215,Faanui,PF,77.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
219,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
222,Baghdad,IQ,71.51,clear sky,33.3406,44.4009,Baghdad Hotel
226,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
231,Gunjur,GM,81.66,light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
233,Iraquara,BR,78.51,clear sky,-12.2486,-41.6194,Pousada E Restaurante MKE
236,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
238,Bubaque,GW,81.84,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
241,Tautira,PF,76.55,light rain,-17.7333,-149.15,Pension Oaoa
247,Takoradi,GH,77.86,scattered clouds,4.8845,-1.7554,Raybow International Hotel
251,Bengkulu,ID,74.53,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
254,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
255,Curvelo,BR,84.61,few clouds,-18.7564,-44.4308,Pontal Plaza Hotel
256,Tabuk,PH,73.85,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
260,Moses Lake,US,74.88,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
262,Karratha,AU,71.65,clear sky,-20.7377,116.8463,ibis Styles Karratha
263,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
267,Gladstone,AU,71.53,moderate rain,-23.85,151.25,Highpoint International Hotel
272,Honiara,SB,81.97,broken clouds,-9.4333,159.95,Heritage Park Hotel
275,Richards Bay,ZA,71.53,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
277,Viedma,AR,70.93,clear sky,-40.8135,-62.9967,Hotel Cristal
281,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
285,Key West,US,89.6,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
291,Paracuru,BR,80.11,few clouds,-3.41,-39.0306,Hotel Vento Brasil
294,Nador,MA,71.85,clear sky,35.174,-2.9287,Hôtel La Giralda
297,Pozo Colorado,PY,76.89,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
298,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
299,Waingapu,ID,80.85,light rain,-9.6567,120.2641,Pondok Wisata Elim
301,Hoquiam,US,74.35,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
304,Humaita,BR,76.78,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
305,Kovur,IN,79.83,overcast clouds,14.4833,79.9833,Hotel Yesh Park
306,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
307,Atambua,ID,75.6,overcast clouds,-9.1061,124.8925,Ros Muskanan
308,Astoria,US,71.71,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
319,Vanimo,PG,77.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
320,Laguna,US,87.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
323,Nishihara,JP,74.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
327,Foundiougne,SN,75.25,light rain,14.1333,-16.4667,Cap Marniane
330,Santo Antonio Do Ica,BR,81.03,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
334,Dingle,PH,75.79,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
335,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
336,Hambantota,LK,78.04,overcast clouds,6.1241,81.1185,Bungalow 63
340,Bitung,ID,76.05,broken clouds,1.4451,125.1824,K2 Lembeh
343,Hobyo,SO,77.92,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
344,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
347,Meulaboh,ID,75.34,moderate rain,4.1363,96.1285,Kost Pria
349,Inhambane,MZ,72.57,scattered clouds,-23.865,35.3833,Oceano
351,Marihatag,PH,77.38,light rain,8.7936,126.2969,Mariner's Place & Resort
359,Hwange,ZW,79.27,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
366,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
368,Cobija,BO,86.18,thunderstorm,-11.0267,-68.7692,Hotel Obelisco
372,Senador Jose Porfirio,BR,83.91,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
380,Puerto Penasco,MX,83.84,clear sky,31.3167,-113.5333,Playa Bonita Resort
381,Mineiros,BR,89.22,moderate rain,-17.5694,-52.5511,Pilões Palace Hotel
383,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Pousada Camboinha
389,Alyangula,AU,80.24,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
396,Paddhari,IN,79.18,few clouds,22.4333,70.6,Rajarammohanrai Tea Stall
403,Athabasca,CA,70.21,few clouds,54.7169,-113.2854,Athabasca Lodge Motel
405,George Town,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
408,Acarau,BR,79.43,few clouds,-2.8856,-40.12,castelo pizzaria
409,Petatlan,MX,85.8,light rain,17.5167,-101.2667,Hotel California Petatlán
410,Am Timan,TD,78.06,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
413,Nouadhibou,MR,84.18,sand,20.931,-17.0347,El Medina
414,Itarema,BR,79.07,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
416,Ratnagiri,IN,77.9,overcast clouds,16.9833,73.3,Hotel Landmark
417,Cururupu,BR,79.27,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
418,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
421,Puerto Baquerizo Moreno,EC,74.39,few clouds,-0.9,-89.6,Hotel los Algarrobos
422,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
424,Nchelenge,ZM,76.28,broken clouds,-9.3451,28.734,KD Travellers Home
427,Hit,IQ,80.71,clear sky,33.6416,42.8251,المعلق حسان رزاق
431,Cayenne,GF,84.24,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
436,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
438,Matara,LK,76.35,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
440,Kimbe,PG,78.03,light rain,-5.5502,150.1429,Kimbe Bay Hotel
450,Samarai,PG,82.6,scattered clouds,-10.6167,150.6667,Nuli Sapi
452,Progreso,MX,84.31,moderate rain,21.2833,-89.6667,Playa Linda Hotel
454,Coahuayana,MX,83.43,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
458,The Valley,AI,84.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
462,Nha Trang,VN,73.4,broken clouds,12.25,109.1833,Hanoi Golden Hotel
464,Belmonte,BR,75.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
465,Ixtepec,MX,76.05,light rain,16.5786,-95.1022,Hotel Express Inn Ixtepec
466,Formosa,AR,84.18,few clouds,-26.1775,-58.1781,Asterión Departamentos
468,Gat,IL,72.28,clear sky,31.61,34.7642,OlusHome
470,Yeppoon,AU,71.38,light rain,-23.1333,150.7333,Villa Mar Colina
472,Grand Gaube,MU,70.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
475,San Ignacio,BZ,87.94,light rain,17.1561,-89.0714,Rainforest Haven Inn
477,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
478,Cabo Rojo,PR,83.89,clear sky,18.0866,-67.1457,Hotel Perichi's
480,Mount Isa,AU,73.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
482,Portland,US,75.99,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
483,Cruzeiro Do Sul,BR,71.53,broken clouds,-29.5128,-51.9853,Estrela Palace Hotel
486,Emerald,AU,71.74,overcast clouds,-23.5333,148.1667,The Irish Village
488,Rosetta,EG,72.64,clear sky,31.4044,30.4164,Green Valley
489,Tual,ID,83.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
500,Kavaratti,IN,80.35,overcast clouds,10.5669,72.642,Green leaf
502,Mareeba,AU,70.52,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
503,Salinopolis,BR,81.43,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
507,Kangaba,ML,79.54,scattered clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
508,Port Keats,AU,82.45,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
515,Macae,BR,74.95,scattered clouds,-22.3708,-41.7869,Golden Tulip Macaé
516,Bontang,ID,77.14,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
519,Mitsamiouli,KM,75.22,clear sky,-11.3847,43.2844,Foyer ADM
523,Saint George,US,84.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
526,Anori,BR,82.63,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
528,Nago,JP,73.83,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
530,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
536,Mangrol,IN,79.29,broken clouds,21.1167,70.1167,Hotel The Royal Honours
540,Beirut,LB,72.34,few clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
543,Altamira,BR,87.89,few clouds,-3.2033,-52.2064,Requinte Hotel
546,Balaka,MW,75.04,few clouds,-14.9793,34.9558,Sun Village Lodge
551,Nisia Floresta,BR,77.81,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
552,Marsa Matruh,EG,70.59,clear sky,31.3525,27.2453,Beau Site
557,Makeni,SL,74.32,light rain,8.8833,-12.05,Multiple Guesthouse
559,Colon,PA,81.36,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
561,Pacific Grove,US,87.48,clear sky,36.6177,-121.9166,Lovers Point Inn
564,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
565,Acajutla,SV,83.12,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
571,Chestermere,CA,77.85,broken clouds,51.0334,-113.8187,The Shores
576,Wukari,NG,78.76,overcast clouds,7.85,9.7833,Elimtop
577,Gorontalo,ID,74.19,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
579,Batticaloa,LK,79.02,overcast clouds,7.7102,81.6924,Grand Star Guest House
581,Makasar,ID,75.25,few clouds,-5.14,119.4221,Aryaduta Makassar
584,Delta,NG,76.51,overcast clouds,5.5,6.0,Prestige Hotel
585,Akyab,MM,76.41,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
586,Amuntai,ID,73.87,overcast clouds,-2.4177,115.2494,Hotel Balqis
587,Miri,MY,75.34,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
588,Santona,ES,78.73,overcast clouds,43.4439,-3.4576,Playamar
590,Santiago Del Estero,AR,70.7,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
593,Kupang,ID,79.07,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
594,Las Vegas,US,87.6,clear sky,36.175,-115.1372,Plaza Hotel & Casino
595,Umm Lajj,SA,82.18,clear sky,25.0213,37.2685,Moon light Furnished Units
596,Gabu,GW,80.74,light rain,12.2833,-14.2167,Hotel karsa
597,Khartoum,SD,88.02,few clouds,15.5518,32.5324,Hotel China
598,Cravo Norte,CO,86.79,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
604,Manacapuru,BR,79.56,overcast clouds,-3.2997,-60.6206,Novo Hotel
607,Sao Felix Do Xingu,BR,82.26,broken clouds,-6.6447,-51.995,Rio Xingu Camping
611,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
613,Cienfuegos,CU,87.94,overcast clouds,22.1461,-80.4356,Casa Claumar B2BPay
614,Paraiso,CR,70.66,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
618,Kisangani,CD,74.26,overcast clouds,0.5167,25.2,Grand Ramela Hotel
620,Limoeiro Do Norte,BR,82.63,scattered clouds,-5.1456,-38.0981,Hotel e Pousada Bezerra
622,Yenagoa,NG,76.68,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
631,Winnemucca,US,78.85,clear sky,40.973,-117.7357,Winners Inn Casino
633,Nabire,ID,74.84,moderate rain,-3.3667,135.4833,Hotel Nusantara I
638,Namatanai,PG,81.32,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
640,Eureka,US,70.2,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
641,Kokoda,PG,76.5,overcast clouds,-8.8785,147.7407,Daito Guest House
645,Eyl,SO,78.64,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
647,Axim,GH,77.76,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
650,San Patricio,US,72.16,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
651,Luganville,VU,82.44,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
653,Lima,PE,71.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
654,Phan Thiet,VN,74.89,broken clouds,10.9333,108.1,Hotel Saigon-PT
655,Aloleng,PH,77.43,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
659,Palu,ID,75.61,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
661,Kishorganj,BD,72.9,clear sky,24.4333,90.7667,Kishoreganj Resort
665,Charters Towers,AU,73.09,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
666,Chettipalaiyam,IN,73.35,mist,10.9,77.0667,KPR MARRIAGE GUEST HOUSE
674,Maholi,IN,71.15,clear sky,27.6667,80.4667,KISHAN TRACTOR SPARE PARTS
676,Alta Floresta,BR,79.88,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
677,Vilhena,BR,71.82,moderate rain,-12.7406,-60.1458,Hotel Mirage
